Magazin original,Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Bazin comercial,Nr. clienți
Staer 23,Staer 23,Drumul Binelui,Sector 4,Sector 4,București,Sud,230
Staer 9,Staer 9,Bulevardul Timișoara,Sector 6,Sector 6,București,Vest,201
Staer 23,Staer 23,Strada Biruinței,Popești-Leordeni,—,Ilfov,Sud,192
Staer 9,Staer 9,Bulevardul Iuliu Maniu,Sector 6,Sector 6,București,Vest,182
Staer 23,Staer 23,Bulevardul Metalurgiei,Sector 4,Sector 4,București,Sud,130
Staer 23,Staer 23,Drumul Jilavei,Sector 4,Sector 4,București,Sud,124
Staer 23,Staer 23,Drumul Fermei,Popești-Leordeni,—,Ilfov,Sud,119
Staer 23,Staer 23,Strada Odei,Sector 4,Sector 4,București,Sud,118
Staer 7,Staer 7,NECUNOSCUTĂ,București neatribuit,București neatribuit,București,București neatribuit,117
Staer 23,Staer 23,Șoseaua Olteniței,Sector 4,Sector 4,București,Sud,98
Staer 9,Staer 9,Prelungirea Ungirea Ghencea,Sector 6,Sector 6,București,Vest,90
Staer 23,Staer 23,Strada Amurgului,Popești-Leordeni,—,Ilfov,Sud,85
Staer 23,Staer 23,Drumul Gura Caliței,Sector 3,Sector 3,București,Est,84
Staer 23,Staer 23,Strada Turnu Măgurele,Sector 4,Sector 4,București,Sud,83
Staer 9,Staer 9,Tineretului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,80
Staer 23,Staer 23,Postalionului,Sector 4,Sector 4,București,Sud,79
Staer 23,Staer 23,Strada Luica,Sector 4,Sector 4,București,Sud,72
Staer 23,Staer 23,Șoseaua Berceni,Sector 4,Sector 4,București,Sud,69
Staer 7,Staer 7,Șoseaua Colentina,București neatribuit,București neatribuit,București,București neatribuit,64
Staer 23,Staer 23,Drumul Gura Putnei,Sector 3,Sector 3,București,Est,61
Staer 9,Staer 9,Șoseaua Salaj,Sector 5,Sector 5,București,Sud-Vest,61
Staer 23,Staer 23,Șoseaua Olteniței,Sector 4,Sector 4,București,Sud,60
Staer 23,Staer 23,Șoseaua Giurgiului,Sector 4,Sector 4,București,Sud,55
Staer 9,Staer 9,Strada Brasov,Sector 6,Sector 6,București,Vest,50
Staer 23,Staer 23,X,București neatribuit,București neatribuit,București,București neatribuit,48
Staer 7,Staer 7,Șoseaua Colentina,Sector 2,Sector 2,București,Nord-Est,47
Staer 23,Staer 23,Strada Luica,Sector 4,Sector 4,București,Sud,45
Staer 23,Staer 23,Șoseaua Pantelimon,Sector 2,Sector 2,București,Nord-Est,44
Staer 23,Staer 23,Strada Aurel Perșu,Sector 4,Sector 4,București,Sud,44
Staer 9,Staer 9,Dr Taberei,Sector 6,Sector 6,București,Vest,44
Staer 9,Staer 9,Splaiul Independenței,Sector 6,Sector 6,București,Vest,44
Staer 9,Staer 9,Safirului,Bragadiru,—,Ilfov,Sud-Vest,43
Staer 23,Staer 23,Solstitiului,Popești-Leordeni,—,Ilfov,Sud,42
Staer 23,Staer 23,Șoseaua Oltenitei,Popești-Leordeni,—,Ilfov,Sud,41
Staer 9,Staer 9,Rezervelor,Chiajna–Roșu–Dudu,—,Ilfov,Vest,40
Alis Ecomob SRL,Staer 9,Prelungirea Ungirea Ghencea,Sector 6,Sector 6,București,Vest,39
Staer 23,Staer 23,Drumul Dealu Bradului,Sector 4,Sector 4,București,Sud,39
Staer 9,Staer 9,Strada Biruinței,Popești-Leordeni,—,Ilfov,Sud,39
Staer 23,Staer 23,Bulevardul Camil Ressu,Sector 3,Sector 3,București,Est,37
Staer 23,Staer 23,Amurgului,Popești-Leordeni,—,Ilfov,Sud,37
Staer 23,Staer 23,Bulevardul Metalurgiei,Sector 4,Sector 4,București,Sud,36
Staer 23,Staer 23,Aleea Huedin,Sector 4,Sector 4,București,Sud,36
Staer 23,Staer 23,Aleea Resita,Sector 4,Sector 4,București,Sud,36
Staer 7,Staer 7,Bulevardul Pipera,Voluntari–Pipera,—,Ilfov,Nord,35
Staer 23,Staer 23,Aleea Lamotesti,Sector 4,Sector 4,București,Sud,34
Staer 9,Staer 9,Prelungirea Ungirea Ghencea,Bragadiru,—,Ilfov,Sud-Vest,34
Staer 23,Staer 23,Șoseaua Giurgiului,București neatribuit,București neatribuit,București,București neatribuit,33
Staer 23,Staer 23,Aleea Covasna,Sector 4,Sector 4,București,Sud,33
Staer 23,Staer 23,Constantin Brancoveanu,Sector 4,Sector 4,București,Sud,33
Staer 23,Staer 23,Popesti Vest,Popești-Leordeni,—,Ilfov,Sud,33
Staer 9,Staer 9,Calea Ea Giulesti,Sector 6,Sector 6,București,Vest,33
Staer 23,Staer 23,Drumul Fermei,Popești-Leordeni,—,Ilfov,Sud,32
Staer 9,Staer 9,Șoseaua Pantelimon,Sector 2,Sector 2,București,Nord-Est,31
Alis Ecomob SRL,Staer 9,Bulevardul Iuliu Maniu,Sector 6,Sector 6,București,Vest,30
Alis Ecomob SRL,Staer 9,Dr Fermei,Popești-Leordeni,—,Ilfov,Sud,30
Staer 9,Staer 9,Ajustorului,Sector 6,Sector 6,București,Vest,30
Staer 7,Staer 7,Șoseaua Pantelimon,Sector 2,Sector 2,București,Nord-Est,29
Staer 9,Staer 9,Calea Ea Crângași,Sector 6,Sector 6,București,Vest,29
Staer 23,Staer 23,Bulevardul Al. Obregia,Sector 4,Sector 4,București,Sud,28
Staer 9,Staer 9,Șoseaua Colentina,Sector 2,Sector 2,București,Nord-Est,28
Staer 9,Staer 9,Șoseaua Olteniței,Sector 4,Sector 4,București,Sud,28
Staer 9,Staer 9,Bulevardul Ghencea,Sector 6,Sector 6,București,Vest,28
Staer 9,Staer 9,Drumul Taberei,Sector 6,Sector 6,București,Vest,28
Staer 9,Staer 9,Strada Sibiu,Sector 6,Sector 6,București,Vest,28
Staer 9,Staer 9,Strada Crișul Repede,Bragadiru,—,Ilfov,Sud-Vest,28
Staer 23,Staer 23,Aleea Izvorul Oltului,Sector 4,Sector 4,București,Sud,27
Staer 23,Staer 23,Calea Văcărești,Sector 4,Sector 4,București,Sud,27
Staer 23,Staer 23,Uioara,Sector 4,Sector 4,București,Sud,27
Staer 23,Staer 23,Șoseaua Salaj,Sector 5,Sector 5,București,Sud-Vest,27
Staer 9,Staer 9,Drumul Valea Doftanei,Sector 6,Sector 6,București,Vest,27
Staer 9,Staer 9,Tineretului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,27
Staer 23,Staer 23,Drumul Binelui,Sector 4,Sector 4,București,Sud,26
Staer 23,Staer 23,Drumul Gura Fagetului,Sector 3,Sector 3,București,Est,26
Staer 23,Staer 23,Bulevardul Alexandru Obregia,Sector 4,Sector 4,București,Sud,26
Staer 7,Staer 7,Șoseaua Pantelimon,București neatribuit,București neatribuit,București,București neatribuit,26
Staer 9,Staer 9,Bulevardul Ion Mihalache,Sector 1,Sector 1,București,Nord,26
Staer 9,Staer 9,Bulevardul Metalurgiei,Sector 4,Sector 4,București,Sud,26
Staer 23,Staer 23,Postasului,Sector 3,Sector 3,București,Est,25
Staer 23,Staer 23,Victor Brauner,Sector 3,Sector 3,București,Est,25
Staer 23,Staer 23,Aleea Cetatea Veche,Sector 4,Sector 4,București,Sud,25
Staer 23,Staer 23,Bulevardul Constantin Brâncoveanu,Sector 4,Sector 4,București,Sud,25
Staer 23,Staer 23,Drumul Dealul Cucului,Sector 4,Sector 4,București,Sud,25
Staer 9,Staer 9,Diamantului,Bragadiru,—,Ilfov,Sud-Vest,25
Staer 23,Staer 23,Bulevardul C Brancoveanu,Sector 4,Sector 4,București,Sud,24
Staer 23,Staer 23,Bulevardul Ctin Brancoveanu,Sector 4,Sector 4,București,Sud,24
Staer 23,Staer 23,Drumul Cretestilor,Sector 4,Sector 4,București,Sud,24
Staer 23,Staer 23,Strada Sf Agnes,Popești-Leordeni,—,Ilfov,Sud,24
Staer 9,Staer 9,Bulevardul Pucheni,Sector 5,Sector 5,București,Sud-Vest,24
Staer 9,Staer 9,Calea Ea Rahovei,Sector 5,Sector 5,București,Sud-Vest,24
Staer 23,Staer 23,Șoseaua Pantelimon,București neatribuit,București neatribuit,București,București neatribuit,23
Staer 23,Staer 23,Calea Ea Vitan,Sector 3,Sector 3,București,Est,23
Staer 23,Staer 23,Drumul Gura Ariesului,Sector 3,Sector 3,București,Est,23
Staer 23,Staer 23,Strada Oituz,Popești-Leordeni,—,Ilfov,Sud,23
Staer 9,Staer 9,Dr Binelui,Sector 4,Sector 4,București,Sud,23
Alis Ecomob SRL,Staer 9,Strada Amurgului,Popești-Leordeni,—,Ilfov,Sud,22
Staer 23,Staer 23,Strada Turnu Măgurele,Sector 4,Sector 4,București,Sud,22
Staer 23,Staer 23,Liviu Rebreanu,Sector 3,Sector 3,București,Est,22
Staer 23,Staer 23,Aleea Ea Tomesti,Sector 4,Sector 4,București,Sud,22
Staer 23,Staer 23,Drumul Dealu Cucului,Sector 4,Sector 4,București,Sud,22
Staer 23,Staer 23,Biruintei,Popești-Leordeni,—,Ilfov,Sud,22
Staer 9,Staer 9,Calea Ea Griviței,Sector 1,Sector 1,București,Nord,22
Staer 9,Staer 9,Strada Barca,Sector 5,Sector 5,București,Sud-Vest,22
Alis Ecomob SRL,Staer 9,Dr Taberei,Sector 6,Sector 6,București,Vest,21
Staer 23,Staer 23,Bulevardul Alexandru Obregia,București neatribuit,București neatribuit,București,București neatribuit,21
Staer 23,Staer 23,Uioara,Sector 4,Sector 4,București,Sud,21
Staer 23,Staer 23,Șoseaua Colentina,Sector 2,Sector 2,București,Nord-Est,21
Staer 23,Staer 23,Aleea Ea Mizil,Sector 3,Sector 3,București,Est,21
Staer 23,Staer 23,Aleea Emil Racovita,Sector 4,Sector 4,București,Sud,21
Staer 7,Staer 7,Liviu Rebreanu,București neatribuit,București neatribuit,București,București neatribuit,21
Staer 7,Staer 7,Șoseaua Olteniței,Sector 4,Sector 4,București,Sud,21
Staer 9,Staer 9,Drumul Gura Caliței,Sector 3,Sector 3,București,Est,21
Staer 23,Staer 23,Dumitru Brumarescu,Sector 4,Sector 4,București,Sud,20
Staer 23,Staer 23,Izvorul Crisului,Sector 4,Sector 4,București,Sud,20
Staer 23,Staer 23,Moldovita,Sector 4,Sector 4,București,Sud,20
Staer 23,Staer 23,Secuilor,Sector 4,Sector 4,București,Sud,20
Staer 7,Staer 7,Mihai Bravu,București neatribuit,București neatribuit,București,București neatribuit,20
Staer 9,Staer 9,Strada Nasaud,Sector 5,Sector 5,București,Sud-Vest,20
Staer 9,Staer 9,Bulevardul Constructorilor,Sector 6,Sector 6,București,Vest,20
Staer 9,Staer 9,Dr Ciorogarla,Sector 6,Sector 6,București,Vest,20
Staer 9,Staer 9,Drumul Belsugului,Sector 6,Sector 6,București,Vest,20
Staer 9,Staer 9,Șoseaua Virtuții,Sector 6,Sector 6,București,Vest,20
Staer 9,Staer 9,Alunului,Bragadiru,—,Ilfov,Sud-Vest,20
Alis Ecomob SRL,Staer 9,Bulevardul Timișoara,Sector 6,Sector 6,București,Vest,19
Staer 23,Staer 23,Fetesti,Sector 3,Sector 3,București,Est,19
Staer 23,Staer 23,Aleea Ea Resita D,Sector 4,Sector 4,București,Sud,19
Staer 23,Staer 23,Splaiul Unirii,Popești-Leordeni,—,Ilfov,Sud,19
Staer 9,Staer 9,Drumul Binelui,Sector 4,Sector 4,București,Sud,19
Staer 23,Staer 23,Strada Aurel Perșu,București neatribuit,București neatribuit,București,București neatribuit,18
Staer 23,Staer 23,Bulevardul 1 Decembrie 1918,Sector 3,Sector 3,București,Est,18
Staer 23,Staer 23,Bulevardul Nicolae Grigorescu,Sector 3,Sector 3,București,Est,18
Staer 23,Staer 23,Bulevardul Theodor Pallady,Sector 3,Sector 3,București,Est,18
Staer 23,Staer 23,Șoseaua Mihai Bravu,Sector 3,Sector 3,București,Est,18
Staer 23,Staer 23,Drumul Cheile Turzii,Sector 4,Sector 4,București,Sud,18
Staer 23,Staer 23,Strada Alunișului,Sector 4,Sector 4,București,Sud,18
Staer 23,Staer 23,Șoseaua Oltenitei,Popești-Leordeni,—,Ilfov,Sud,18
Staer 7,Staer 7,Galata,Voluntari–Pipera,—,Ilfov,Nord,18
Staer 9,Staer 9,Postalionului,Sector 4,Sector 4,București,Sud,18
Staer 9,Staer 9,Calea 13 Septembrie,Sector 5,Sector 5,București,Sud-Vest,18
Staer 9,Staer 9,Aleea Ghirlandei,Sector 6,Sector 6,București,Vest,18
Staer 9,Staer 9,Dreptatii,Sector 6,Sector 6,București,Vest,18
Staer 9,Staer 9,Piscul Crasani,Sector 6,Sector 6,București,Vest,18
Staer 9,Staer 9,Iernii,Bragadiru,—,Ilfov,Sud-Vest,18
Staer 9,Staer 9,Rezervelor,Chiajna–Roșu–Dudu,—,Ilfov,Vest,18
Staer 23,Staer 23,Bulevardul Camil Ressu,București neatribuit,București neatribuit,București,București neatribuit,17
Staer 23,Staer 23,Bulevardul Basarabia,Sector 2,Sector 2,București,Nord-Est,17
Staer 23,Staer 23,Marului,Sector 3,Sector 3,București,Est,17
Staer 23,Staer 23,Drumul Dealul Bradului,Sector 4,Sector 4,București,Sud,17
Staer 23,Staer 23,Drumul Gilaului,Sector 4,Sector 4,București,Sud,17
Staer 23,Staer 23,Strada Cercetatorilor,Sector 4,Sector 4,București,Sud,17
Staer 23,Staer 23,Bulevardul Timișoara,Sector 6,Sector 6,București,Vest,17
Staer 23,Staer 23,Șoseaua Giurgiului,Jilava,—,Ilfov,Sud,17
Staer 7,Staer 7,Bulevardul Lacul Tei,București neatribuit,București neatribuit,București,București neatribuit,17
Staer 7,Staer 7,Teiul Doamnei,Sector 2,Sector 2,București,Nord-Est,17
Staer 9,Staer 9,Șoseaua Chitilei,Sector 1,Sector 1,București,Nord,17
Staer 9,Staer 9,Șoseaua Giurgiului,Sector 4,Sector 4,București,Sud,17
Staer 9,Staer 9,Calea Ea Ferentari,Sector 5,Sector 5,București,Sud-Vest,17
Staer 9,Staer 9,Economu Cezarescu,Sector 6,Sector 6,București,Vest,17
Staer 9,Staer 9,Fabricii,Sector 6,Sector 6,București,Vest,17
Staer 9,Staer 9,Strada Lujerului,Sector 6,Sector 6,București,Vest,17
Staer 9,Staer 9,Vintila Mihailescu,Sector 6,Sector 6,București,Vest,17
Staer 9,Staer 9,Neamului,Bragadiru,—,Ilfov,Sud-Vest,17
Alis Ecomob SRL,Staer 9,Calea Ea Rahovei,Sector 5,Sector 5,București,Sud-Vest,16
Alis Ecomob SRL,Staer 9,Rezervelor,Chiajna–Roșu–Dudu,—,Ilfov,Vest,16
Staer 23,Staer 23,Aleea Covasna,Sector 4,Sector 4,București,Sud,16
Staer 23,Staer 23,Aleea Fizicienilor,Sector 3,Sector 3,București,Est,16
Staer 23,Staer 23,Aleea Prevederii,Sector 3,Sector 3,București,Est,16
Staer 23,Staer 23,Strada Istriei,Sector 3,Sector 3,București,Est,16
Staer 23,Staer 23,Aleea Gornesti,Sector 4,Sector 4,București,Sud,16
Staer 23,Staer 23,Anton Bacalbasa,Sector 4,Sector 4,București,Sud,16
Staer 23,Staer 23,Strada Izvorul Muresului,Sector 4,Sector 4,București,Sud,16
Staer 23,Staer 23,Strada Panselelor,Sector 4,Sector 4,București,Sud,16
Staer 7,Staer 7,Bulevardul Timișoara,Sector 6,Sector 6,București,Vest,16
Staer 7,Staer 7,Pantelimon,Sector 2,Sector 2,București,Nord-Est,16
Staer 7,Staer 7,Splaiul Unirii,Popești-Leordeni,—,Ilfov,Sud,16
Staer 9,Staer 9,Bulevardul Theodor Pallady,Sector 3,Sector 3,București,Est,16
Staer 9,Staer 9,Dr Gura Calitei,Sector 3,Sector 3,București,Est,16
Staer 9,Staer 9,Dr Jilavei,Sector 4,Sector 4,București,Sud,16
Staer 9,Staer 9,Drumul Jilavei,Sector 4,Sector 4,București,Sud,16
Staer 9,Staer 9,Aleea Dumbrava Noua,Sector 5,Sector 5,București,Sud-Vest,16
Staer 9,Staer 9,Muntii Carpati,Sector 5,Sector 5,București,Sud-Vest,16
Staer 9,Staer 9,Bulevardul 1 Mai,Sector 6,Sector 6,București,Vest,16
Staer 9,Staer 9,Bulevardul Uverturii,Sector 6,Sector 6,București,Vest,16
Staer 9,Staer 9,Margelelor,Bragadiru,—,Ilfov,Sud-Vest,16
Alis Ecomob SRL,Staer 9,Rezervelor,Sector 6,Sector 6,București,Vest,15
Alis Ecomob SRL,Staer 9,Prelungirea Ungirea Ghencea,Bragadiru,—,Ilfov,Sud-Vest,15
Staer 23,Staer 23,Aleea Resita,București neatribuit,București neatribuit,București,București neatribuit,15
Staer 23,Staer 23,Bulevardul Brancoveanu,Sector 4,Sector 4,București,Sud,15
Staer 23,Staer 23,Aleea Dorohoi,Sector 4,Sector 4,București,Sud,15
Staer 23,Staer 23,Aleea Terasei,Sector 4,Sector 4,București,Sud,15
Staer 23,Staer 23,Bulevardul Tineretului,Sector 4,Sector 4,București,Sud,15
Staer 23,Staer 23,Bulevardul 1 Mai,Berceni (Ilfov),—,Ilfov,Sud,15
Staer 23,Staer 23,Bulevardul Pipera,Voluntari–Pipera,—,Ilfov,Nord,15
Staer 7,Staer 7,Stefan cel Mare,București neatribuit,București neatribuit,București,București neatribuit,15
Staer 9,Staer 9,Bulevardul Iuliu Maniu,Sector 6,Sector 6,București,Vest,15
Staer 9,Staer 9,Drumul Osiei,Sector 6,Sector 6,București,Vest,15
Staer 9,Staer 9,Drumul Valea Cricovului,Sector 6,Sector 6,București,Vest,15
Staer 9,Staer 9,Moinesti,Sector 6,Sector 6,București,Vest,15
Staer 9,Staer 9,Tg Neamt,Sector 6,Sector 6,București,Vest,15
Staer 9,Staer 9,Șoseaua Alexandriei,Bragadiru,—,Ilfov,Sud-Vest,15
Alis Ecomob SRL,Staer 9,Bulevardul Tineretului,București neatribuit,București neatribuit,București,București neatribuit,14
Alis Ecomob SRL,Staer 9,Șoseaua Colentina,București neatribuit,București neatribuit,București,București neatribuit,14
Staer 23,Staer 23,Aleea Lamotesti,Sector 4,Sector 4,București,Sud,14
Staer 23,Staer 23,Drumul Jilavei,Sector 4,Sector 4,București,Sud,14
Staer 23,Staer 23,Șoseaua Berceni,Sector 4,Sector 4,București,Sud,14
Staer 23,Staer 23,Șoseaua Colentina,București neatribuit,București neatribuit,București,București neatribuit,14
Staer 23,Staer 23,Calea Ea Mosilor,Sector 2,Sector 2,București,Nord-Est,14
Staer 23,Staer 23,Aleea Niculitel,Sector 4,Sector 4,București,Sud,14
Staer 23,Staer 23,Izvorul Rece,Sector 4,Sector 4,București,Sud,14
Staer 23,Staer 23,Solstitiului,Popești-Leordeni,—,Ilfov,Sud,14
Staer 23,Staer 23,Echinoctiului,Popești-Leordeni,—,Ilfov,Sud,14
Staer 7,Staer 7,Șoseaua Mihai Bravu,București neatribuit,București neatribuit,București,București neatribuit,14
Staer 7,Staer 7,Șoseaua Fundeni,Sector 2,Sector 2,București,Nord-Est,14
Staer 9,Staer 9,Turda,Sector 1,Sector 1,București,Nord,14
Staer 9,Staer 9,Drumul Gura Fagetului,Sector 3,Sector 3,București,Est,14
Staer 9,Staer 9,Drumul Gura Putnei,Sector 3,Sector 3,București,Est,14
Staer 9,Staer 9,Victor Brauner,Sector 3,Sector 3,București,Est,14
Staer 9,Staer 9,Novaci,Sector 5,Sector 5,București,Sud-Vest,14
Staer 9,Staer 9,Aleea Tincani,Sector 6,Sector 6,București,Vest,14
Staer 9,Staer 9,Aleea Valea Calugareasca,Sector 6,Sector 6,București,Vest,14
Staer 9,Staer 9,Oboga,Sector 6,Sector 6,București,Vest,14
Staer 9,Staer 9,Pravat,Sector 6,Sector 6,București,Vest,14
Staer 9,Staer 9,Strada Cetatea de Balta,Sector 6,Sector 6,București,Vest,14
Staer 9,Staer 9,Strada Cupolei,Sector 6,Sector 6,București,Vest,14
Staer 9,Staer 9,Serg Ilie Petre,Chiajna–Roșu–Dudu,—,Ilfov,Vest,14
Alis Ecomob SRL,Staer 9,Liviu Rebreanu,București neatribuit,București neatribuit,București,București neatribuit,13
Alis Ecomob SRL,Staer 9,Strada Cupolei,Sector 6,Sector 6,București,Vest,13
Alis Ecomob SRL,Staer 9,Șoseaua Oltenitei,Popești-Leordeni,—,Ilfov,Sud,13
Staer 23,Staer 23,Constantin Brancoveanu,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Drumul Gazarului,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Liviu Rebreanu,București neatribuit,București neatribuit,București,București neatribuit,13
Staer 23,Staer 23,Bulevardul Chișinău,Sector 2,Sector 2,București,Nord-Est,13
Staer 23,Staer 23,Șoseaua Ștefan cel Mare,Sector 2,Sector 2,București,Nord-Est,13
Staer 23,Staer 23,Aleea Ciucea,Sector 3,Sector 3,București,Est,13
Staer 23,Staer 23,Strada Răcari,Sector 3,Sector 3,București,Est,13
Staer 23,Staer 23,Aleea Ea Ciceu,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Binelui,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Drumul Dealu Alunis,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Garnitei,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Gradistea,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Paduroiu,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Strada Anghel Moldoveanu,Sector 4,Sector 4,București,Sud,13
Staer 23,Staer 23,Bulevardul Iuliu Maniu,Sector 6,Sector 6,București,Vest,13
Staer 23,Staer 23,Campului,Berceni (Ilfov),—,Ilfov,Sud,13
Staer 23,Staer 23,Fluturilor,Berceni (Ilfov),—,Ilfov,Sud,13
Staer 23,Staer 23,Lacramioarei,Berceni (Ilfov),—,Ilfov,Sud,13
Staer 23,Staer 23,Miorita,Berceni (Ilfov),—,Ilfov,Sud,13
Staer 23,Staer 23,Strada Zanelor,Berceni (Ilfov),—,Ilfov,Sud,13
Staer 23,Staer 23,Tuberozelor,Berceni (Ilfov),—,Ilfov,Sud,13
Staer 23,Staer 23,Sperantei,Popești-Leordeni,—,Ilfov,Sud,13
Staer 7,Staer 7,Bulevardul Camil Ressu,București neatribuit,București neatribuit,București,București neatribuit,13
Staer 7,Staer 7,Șoseaua Iancului,București neatribuit,București neatribuit,București,București neatribuit,13
Staer 7,Staer 7,NECUNOSCUTĂ,București neatribuit,București neatribuit,București,București neatribuit,13
Staer 7,Staer 7,Bulevardul Camil Ressu,Sector 3,Sector 3,București,Est,13
Staer 7,Staer 7,Liviu Rebreanu,Sector 3,Sector 3,București,Est,13
Staer 9,Staer 9,Bulevardul Bucureștii Noi,Sector 1,Sector 1,București,Nord,13
Staer 9,Staer 9,Bulevardul Camil Ressu,Sector 3,Sector 3,București,Est,13
Staer 9,Staer 9,Postasului,Sector 3,Sector 3,București,Est,13
Staer 9,Staer 9,Strada Petre Ispirescu,Sector 5,Sector 5,București,Sud-Vest,13
Staer 9,Staer 9,Aleea Dealul Macinului,Sector 6,Sector 6,București,Vest,13
Staer 9,Staer 9,Ciresar,Bragadiru,—,Ilfov,Sud-Vest,13
Staer 9,Staer 9,Weiner Palada,Chiajna–Roșu–Dudu,—,Ilfov,Vest,13
Alis Ecomob SRL,Staer 9,Aleea Dumbrava Noua,Sector 5,Sector 5,București,Sud-Vest,12
Alis Ecomob SRL,Staer 9,Calea Ea Ferentari,Sector 5,Sector 5,București,Sud-Vest,12
Alis Ecomob SRL,Staer 9,Drumul Fermei,Popești-Leordeni,—,Ilfov,Sud,12
Staer 23,Staer 23,Aleea Prevederii,Sector 3,Sector 3,București,Est,12
Staer 23,Staer 23,Bulevardul Doamna Ghica,Sector 2,Sector 2,București,Nord-Est,12
Staer 23,Staer 23,Șoseaua Mihai Bravu,Sector 2,Sector 2,București,Nord-Est,12
Staer 23,Staer 23,Baba Novac,Sector 3,Sector 3,București,Est,12
Staer 23,Staer 23,Drumul Gura Siriului,Sector 3,Sector 3,București,Est,12
Staer 23,Staer 23,Strada Vlaicu Vodă,Sector 3,Sector 3,București,Est,12
Staer 23,Staer 23,Aleea Aduintei,Sector 4,Sector 4,București,Sud,12
Staer 23,Staer 23,Strada Frumusani,Sector 4,Sector 4,București,Sud,12
Staer 23,Staer 23,Strada Nitu Vasile,Sector 4,Sector 4,București,Sud,12
Staer 23,Staer 23,Stupilor,Sector 4,Sector 4,București,Sud,12
Staer 23,Staer 23,Tulnici,Sector 4,Sector 4,București,Sud,12
Staer 23,Staer 23,Aleea Garii,Jilava,—,Ilfov,Sud,12
Staer 23,Staer 23,Ungureni,Jilava,—,Ilfov,Sud,12
Staer 23,Staer 23,Eclipsei,Popești-Leordeni,—,Ilfov,Sud,12
Staer 23,Staer 23,Leordeni,Popești-Leordeni,—,Ilfov,Sud,12
Staer 23,Staer 23,Sfanta Agnes,Popești-Leordeni,—,Ilfov,Sud,12
Staer 7,Staer 7,Șoseaua Pantelimon,Sector 2,Sector 2,București,Nord-Est,12
Staer 7,Staer 7,Calea Ea Griviței,Sector 1,Sector 1,București,Nord,12
Staer 9,Staer 9,Dr Gura Fagetului,Sector 3,Sector 3,București,Est,12
Staer 9,Staer 9,Calea Văcărești,Sector 4,Sector 4,București,Sud,12
Staer 9,Staer 9,Salaj,Sector 5,Sector 5,București,Sud-Vest,12
Staer 9,Staer 9,Aleea Ea Campul cu Flori,Sector 6,Sector 6,București,Vest,12
Staer 9,Staer 9,Aleea Ea Istru,Sector 6,Sector 6,București,Vest,12
Staer 9,Staer 9,Dezrobirii,Sector 6,Sector 6,București,Vest,12
Staer 9,Staer 9,Margelelor,Sector 6,Sector 6,București,Vest,12
Staer 9,Staer 9,Valea Lunga,Sector 6,Sector 6,București,Vest,12
Staer 9,Staer 9,Valea Oltului,Sector 6,Sector 6,București,Vest,12
Staer 9,Staer 9,Coralului,Bragadiru,—,Ilfov,Sud-Vest,12
Staer 9,Staer 9,Drumul Fermei,Popești-Leordeni,—,Ilfov,Sud,12
Staer 9,Staer 9,Strada Amurgului,Popești-Leordeni,—,Ilfov,Sud,12
Staer 9,Staer 9,Bulevardul Pipera,Voluntari–Pipera,—,Ilfov,Nord,12
Alis Ecomob SRL,Staer 9,Șoseaua Olteniței,Sector 4,Sector 4,București,Sud,11
Alis Ecomob SRL,Staer 9,Telita,Sector 5,Sector 5,București,Sud-Vest,11
Staer 23,Staer 23,Aleea Emil Racovita,Sector 4,Sector 4,București,Sud,11
Staer 23,Staer 23,Almasu MIC,Sector 4,Sector 4,București,Sud,11
Staer 23,Staer 23,Baba Novac,București neatribuit,București neatribuit,București,București neatribuit,11
Staer 23,Staer 23,Bulevardul Theodor Pallady,Sector 3,Sector 3,București,Est,11
Staer 23,Staer 23,Drumul Cretestilor,Sector 4,Sector 4,București,Sud,11
Staer 23,Staer 23,Postalionului,București neatribuit,București neatribuit,București,București neatribuit,11
Staer 23,Staer 23,Cozla,Sector 3,Sector 3,București,Est,11
Staer 23,Staer 23,Strada Campia Libertatii,Sector 3,Sector 3,București,Est,11
Staer 23,Staer 23,Calea Serban Voda,Sector 4,Sector 4,București,Sud,11
Staer 23,Staer 23,Drumul Gazarului,Sector 4,Sector 4,București,Sud,11
Staer 23,Staer 23,Padesu,Sector 4,Sector 4,București,Sud,11
Staer 23,Staer 23,Șoseaua Vitan Barzesti,Sector 4,Sector 4,București,Sud,11
Staer 23,Staer 23,Vatra Dornei,Sector 4,Sector 4,București,Sud,11
Staer 23,Staer 23,Calea Ea Ferentari,Sector 5,Sector 5,București,Sud-Vest,11
Staer 23,Staer 23,Toporasi,Sector 5,Sector 5,București,Sud-Vest,11
Staer 23,Staer 23,Oituz,Popești-Leordeni,—,Ilfov,Sud,11
Staer 23,Staer 23,Popesti Vest,Popești-Leordeni,—,Ilfov,Sud,11
